alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
-10.000     0.000   0.102438   0.000703   0.103831   0.104534   0.000000  -0.000000  -0.300924   0.000000   0.000000   13.0000     1.3679
-9.500     0.000   0.140261   0.001209   0.095484   0.096693   0.000000  -0.000000  -0.312887   0.000000   0.000000   13.0000     1.0330
-9.000     0.000   0.178089   0.001871   0.089680   0.091551   0.000000  -0.000000  -0.324689   0.000000   0.000000   13.0000     0.8403
-8.500     0.000   0.215914   0.002688   0.085444   0.088131   0.000000  -0.000000  -0.336393   0.000000   0.000000   13.0000     0.7151
-8.000     0.000   0.253731   0.003661   0.081250   0.084911   0.000000  -0.000000  -0.348078   0.000000   0.000000   13.0000     0.6272
-7.500     0.000   0.291531   0.004790   0.064637   0.069427   0.000000  -0.000000  -0.360266   0.000000   0.000000   13.0000     0.5621
-7.000     0.000   0.329309   0.006075   0.056511   0.062585   0.000000  -0.000000  -0.372030   0.000000   0.000000   13.0000     0.5120
-6.500     0.000   0.367057   0.007515   0.050740   0.058256   0.000000  -0.000000  -0.383658   0.000000   0.000000   13.0000     0.4721
-6.000     0.000   0.404767   0.009111   0.047130   0.056241   0.000000  -0.000000  -0.395171   0.000000   0.000000   13.0000     0.4397
-5.500     0.000   0.442434   0.010862   0.043706   0.054568   0.000000  -0.000000  -0.406648   0.000000   0.000000   13.0000     0.4128
-5.000     0.000   0.480050   0.012767   0.040519   0.053286   0.000000  -0.000000  -0.418084   0.000000   0.000000   13.0000     0.3901
-4.500     0.000   0.517609   0.014826   0.037352   0.052178   0.000000  -0.000000  -0.429485   0.000000   0.000000   13.0000     0.3707
-4.000     0.000   0.555103   0.017038   0.034168   0.051206   0.000000  -0.000000  -0.440847   0.000000   0.000000   13.0000     0.3540
-3.500     0.000   0.592525   0.019402   0.032410   0.051812   0.000000  -0.000000  -0.452139   0.000000   0.000000   13.0000     0.3393
-3.000     0.000   0.629869   0.021918   0.030856   0.052774   0.000000  -0.000000  -0.463389   0.000000   0.000000   13.0000     0.3264
-2.500     0.000   0.667128   0.024583   0.029305   0.053888   0.000000  -0.000000  -0.474600   0.000000   0.000000   13.0000     0.3149
-2.000     0.000   0.704295   0.027397   0.027902   0.055299   0.000000  -0.000000  -0.485765   0.000000   0.000000   13.0000     0.3047
-1.500     0.000   0.741363   0.030359   0.026569   0.056928   0.000000  -0.000000  -0.496883   0.000000   0.000000   13.0000     0.2954
-1.000     0.000   0.778325   0.033467   0.025245   0.058712   0.000000  -0.000000  -0.507953   0.000000   0.000000   13.0000     0.2871
-0.500     0.000   0.815176   0.036719   0.024025   0.060744   0.000000  -0.000000  -0.518970   0.000000   0.000000   13.0000     0.2794
0.000     0.000   0.851907   0.040113   0.022864   0.062977   0.000000  -0.000000  -0.529933   0.000000   0.000000   13.0000     0.2725
0.500     0.000   0.888514   0.043649   0.021755   0.065404   0.000000  -0.000000  -0.540837   0.000000   0.000000   13.0000     0.2661
1.000     0.000   0.924988   0.047324   0.020682   0.068006   0.000000  -0.000000  -0.551680   0.000000   0.000000   13.0000     0.2602
1.500     0.000   0.961324   0.051136   0.019777   0.070913   0.000000  -0.000000  -0.562461   0.000000   0.000000   13.0000     0.2547
2.000     0.000   0.997516   0.055083   0.019278   0.074361   0.000000  -0.000000  -0.573180   0.000000   0.000000   13.0000     0.2496
2.500     0.000   1.033556   0.059163   0.018939   0.078102   0.000000  -0.000000  -0.583834   0.000000   0.000000   13.0000     0.2449
3.000     0.000   1.069438   0.063373   0.018780   0.082153   0.000000  -0.000000  -0.594421   0.000000   0.000000   13.0000     0.2405
3.500     0.000   1.105157   0.067710   0.018741   0.086452   0.000000  -0.000000  -0.604938   0.000000   0.000000   13.0000     0.2363
4.000     0.000   1.140706   0.072174   0.018800   0.090973   0.000000  -0.000000  -0.615383   0.000000   0.000000   13.0000     0.2324
4.500     0.000   1.176079   0.076760   0.018940   0.095700   0.000000  -0.000000  -0.625753   0.000000   0.000000   13.0000     0.2287
5.000     0.000   1.211270   0.081466   0.019108   0.100574   0.000000  -0.000000  -0.636045   0.000000   0.000000   13.0000     0.2253
5.500     0.000   1.246274   0.086290   0.019331   0.105620   0.000000  -0.000000  -0.646255   0.000000   0.000000   13.0000     0.2220
6.000     0.000   1.281083   0.091227   0.019612   0.110839   0.000000  -0.000000  -0.656382   0.000000   0.000000   13.0000     0.2189
6.500     0.000   1.315693   0.096277   0.019928   0.116205   0.000000  -0.000000  -0.666421   0.000000   0.000000   13.0000     0.2159
7.000     0.000   1.350097   0.101434   0.020211   0.121645   0.000000  -0.000000  -0.676369   0.000000   0.000000   13.0000     0.2131
